location,price,bedrooms,bathrooms,sqft,price per sqft
Arroyo Grande,795000,3,3,2371,335.3
Paso Robles,399000,4,3,2818,141.59
Paso Robles,545000,4,3,3032,179.75
Morro Bay,909000,4,4,3540,256.78
Santa Maria-Orcutt,109900,3,1,1249,87.99
Oceano,324900,3,3,1800,180.5
Santa Maria-Orcutt,192900,4,2,1603,120.34
Santa Maria-Orcutt,215000,3,2,1450,148.28
Morro Bay,999000,4,3,3360,297.32
Atascadero,319000,3,2,1323,241.12
Santa Maria-Orcutt,350000,3,2,1750,200
Santa Maria-Orcutt,249000,3,2,1400,177.86
Arroyo Grande,299000,2,2,1257,237.87
Santa Maria-Orcutt,235900,3,2,1400,168.5
Santa Maria-Orcutt,348000,3,2,1600,217.5
Paso Robles,314000,4,3,1794,175.03
Los Alamos,399000,4,2,1850,215.68
San Miguel,599000,3,3,2950,203.05
Paso Robles,299000,3,2,1719,173.94
San Luis Obispo,425000,3,3,1472,288.72
Morro Bay,1100000,4,3,4168,263.92
Cayucos,1500000,3,3,3880,386.6
Santa Maria-Orcutt,110000,2,1,1000,110
Santa Maria-Orcutt,200000,3,2,1139,175.59
Santa Maria-Orcutt,134900,3,1,1080,124.91
Santa Maria-Orcutt,250000,4,3,2000,125
Pismo Beach,950000,3,4,1920,494.79
Santa Maria-Orcutt,239950,4,2,1348,178
Santa Maria-Orcutt,170000,3,2,1280,132.81
Santa Maria-Orcutt,285000,3,2,2400,118.75
Santa Maria-Orcutt,279000,3,3,1700,164.12
Santa Maria-Orcutt,219000,3,2,1600,136.88
Santa Maria-Orcutt,155000,3,2,1050,147.62
Atascadero,389000,3,2,1415,274.91
Nipomo,340000,3,1,1110,306.31
Guadalupe,95000,2,1,797,119.2
Santa Maria-Orcutt,140000,2,2,1100,127.27
Pismo Beach,1100000,3,3,2602,422.75
Santa Maria-Orcutt,360000,4,3,2351,153.13
Morro Bay,415000,3,3,1350,307.41
Santa Maria-Orcutt,250000,4,2,1206,207.3
Santa Maria-Orcutt,559000,3,3,2628,212.71
Nipomo,525000,3,3,2365,221.99
Los Osos,779000,3,3,2990,260.54
Arroyo Grande,595000,3,2,1750,340
Templeton,1150000,4,5,5500,209.09
Templeton,550000,3,2,1852,296.98
Grover Beach,500000,3,2,2100,238.1
