serving size,calories,total fat,saturated fat,trans fat,sodium,carbs,sugars,protein
98,240,8,3,0,480,32,6,12
113,290,11,5,0.5,680,33,7,15
211,530,27,10,1,960,47,9,24
202,520,26,12,1.5,1100,41,10,30
270,720,40,15,1.5,1470,51,14,39
283,750,43,19,2.5,1280,42,10,48
257,530,15,10,1,160,86,63,11
213,510,22,3.5,0,990,55,10,24
200,350,9,2,0,820,42,8,28
65,190,12,2,0,360,12,0,9
75,230,11,1.5,0,130,30,0,2
93,220,8,3,0.5,380,26,6,11
104,270,12,5,0.5,560,27,7,13
260,630,38,11,1.5,810,49,11,26
279,750,49,16,2,1260,46,8,33
341,850,54,18,2.5,870,49,11,43
327,1040,69,28,2.5,1900,48,10,57
343,610,16,10,0,500,103,88,14
248,660,40,7,0,1220,49,7,26
217,420,18,3,0,700,35,6,32
58,170,11,1.5,0,310,11,0,8
128,320,14,2.5,0,480,44,0,4
102,250,10,4,1,600,25,5,14
113,290,13,6,1,800,26,6,16
247,580,31,13,2,1220,42,10,30
329,820,47,20,3,1510,42,10,48
423,1090,66,29,4,1990,43,11,69
295,940,56,23,3,1890,41,9,57
211,670,37,15,2,1670,41,9,38
342,580,13,8,1,250,104,93,11
247,510,20,4,0,1200,54,8,29
231,370,7,2,0,880,43,9,34
60,180,12,3,0,350,10,0,9
108,310,15,3,0,330,40,0,4
193,270,3.5,1,0,940,33,7,28
170,410,16,3.5,0,1300,38,5,28
57,130,6,1,0,545,6,1.5,13
85,280,14,5,1,105,37,0,3
418,560,22,13,0,380,82,79,12
105,280,11,4,0.5,680,32,5,14
106,320,14,6,1,880,32,6,16
218,490,23,8,1.5,910,44,7,26
284,910,56,24,3,2190,44,7,57
181,560,30,12,1.5,1170,43,6,29
153,470,19,7,1,920,33,6,16
370,1030,71,23,2.5,1990,52,9,41
223,660,41,15,1.5,1450,40,8,35
376,800,38,26,1.5,300,101,88,13
147,410,21,3.5,0,880,42,4,15
261,540,26,7,0,1490,38,6,39
77,240,17,2,0,600,13,0,9
107,330,15,1.5,0,610,45,0,4
113,330,17,6,0.5,480,30,3,15
131,390,23,9,0.5,810,31,3,19
265,650,37,14,1.5,840,46,10,31
396,1240,87,35,3.5,1690,44,8,67
278,820,54,20,2,1260,43,7,39
304,710,43,17,1.5,1120,43,8,35
387,670,31,23,0,330,89,56,8
244,580,29,4.5,0,900,57,7,28
257,450,17,2,0,1240,44,7,32
114,380,22,4,0,1260,27,1,18
80,250,12,2,0,260,33,0,3
156,380,19,8,1,920,34,8,21
227,520,28,11,1,1110,43,10,25
193,560,33,12,1,890,39,5,27
313,770,46,20,1.5,1410,43,10,45
226,580,34,16,1.5,1240,35,9,37
243,620,36,14,1,1320,41,9,34
373,550,19,14,0.5,220,82,71,13
198,610,30,3.5,0,1120,50,5,22
194,360,16,2.5,0,1040,32,6,26
128,350,20,3,0,960,22,0,22
142,380,17,2.5,0,790,54,0,4
130,302,12,4.8,0,569,33.6,5.6,17.7
144,351,15.9,7.5,0,733,34.2,5.8,20.5
277,591,43.7,14.1,0.4,1143,54,9.9,29.7
390,930,56,23,2,1540,59,14,48
250,750,35,14,1,1650,75,16,36
316,630,29,11,1,1070,65,20,28
321,920,68,23,2,1380,56,12,47
416,1020,70,27,3.5,1760,59,19,39
397,700,36,24,1.5,300,84,59,12
207,493,23.2,2.7,0.1,1287,43.2,0.4,26.7
203,398,30.5,9.5,0.4,1216,36.2,5.7,28.9
93,220,11.1,1.6,0.1,859,9.5,0.2,20.6
105,304,14.7,2.7,0.1,610,39.4,0.3,3.4
195,500,22,5,3,1080,61,7,16
207,550,26,6,3,1300,61,7,18
358,820,43,16,3,1660,56,15,32
424,1030,70,24,3,2240,57,16,45
267,690,40,15,3,1630,52,11,34
348,900,59,18,3,1680,54,13,40
467,1140,79,27,3,2460,58,17,56
248,590,31,8,3,1510,35,9,42
329,750,42,8,3,1490,63,11,32
128,260,13,2.5,3,770,13,0,25
126,360,18,3,3,730,47,0,4
397,710,33,24,3,240,87,73,14
44,140,6,2.5,0.5,360,13,1,7
63,160,9,4,0.5,500,14,2,8
67,220,14,6,0.5,640,13,2,11
113,300,17,8,1,940,20,3,15
121,400,27,12,1,1220,21,2,21
92,380,30,7,0,460,16,2,10
88,180,7,1.5,0,570,13,2,15
143,530,47,9,0,610,12,0,18
148,330,21,4,0,50,32,2,3
450,550,10,5.5,0,330,106,90,12
168,310,11,4,0,750,37,6,14
190,400,18,7,0,1140,37,6,21
316,590,25,8,1,1220,62,12,29
331,940,61,21,2,1760,45,6,49
400,830,44,14,2,1470,62,12,47
361,990,54,19,2,2080,68,18,55
373,1110,69,26,2,1660,61,12,60
278,430,13,3,0,1040,49,13,35
285,560,22,4,0,1050,69,14,29
183,370,20,4,0,1050,31,1,17
85,280,14,2,0,170,35,0,3
343,430,9,6,0,400,79,77,8
243,390,19,5,0,650,39,10,16
268,480,27,10,0.5,1000,39,10,22
330,670,41,18,1,1440,39,10,37
125,395,18,5,0,245,54,0,7
321,590,29,19,1,320,72,65,10
